country,year,crisis_bin,crisis_h1,crisis_h2,crisis_h3,z1,z2,z3,z4
Belgium,2017,0,0,0,0,-0.12278562480118106,0.46024834517408747,-1.2206876583503188,-0.5862469425930391
Belgium,2018,0,0,0,0,-0.2313901931762904,0.6710342673754958,-1.5339230553805028,-0.6747797853312604
Belgium,2019,0,0,0,0,-0.1085444561969323,0.8662726253165384,-2.3390877533404257,-0.5371844568641783
Belgium,2020,0,0,0,0,-0.2664610461497727,1.2397149540116876,-1.7608260560740858,-1.0211742109741824
Denmark,1884,0,0,0,0,0.0032276388026610606,0.00721624550770212,0.0027378552138779934,-0.004594552627987323
Denmark,1885,0,0,0,0,-0.002918664396729273,0.015240175847059946,0.006794843576229909,-0.013996688006171158
Denmark,1886,0,0,0,0,0.00041921733893445553,-0.004094677340432933,0.010677757672705004,0.011116209420930459
Denmark,1887,0,0,0,0,-0.0082785293305785,0.00959446074420745,-0.003875348298114477,-0.01625016521300075
Denmark,1888,0,0,0,0,0.0043047414686460846,-0.0025374885951101357,0.010013676465120526,-0.011497145221632588
Denmark,1889,0,0,0,0,-0.0009926167295414945,0.0036764692744097327,0.005635489306859597,-0.013388284324732009
Denmark,1890,0,0,0,0,-0.0028139775612134373,0.00982497840103301,-0.015806114815733737,-0.0045931906551956786
Denmark,1891,0,0,0,0,0.00407435307526258,0.0002615496333833872,0.0012638365575799605,-0.009299051439522844
Denmark,1892,0,0,0,0,0.000825555011209855,0.0010696255886181588,-0.007138206479764575,0.0012516269870769376
Denmark,1893,0,0,0,0,-0.008560558774877977,0.007734623829339468,-0.007404031156290528,0.002486531098503848
Denmark,1894,0,0,0,0,-0.0076384672924073175,0.010542897911365605,0.0017165954243112758,0.0007178196334132305
Denmark,1895,0,0,0,0,-0.01222274035599098,0.01022058478646533,-0.0033659250549944873,-0.0032285034562252665
Denmark,1896,0,0,0,0,-0.010255084095138867,0.007110189787320941,-0.005356386816544046,-0.008254524891865941
Denmark,1897,0,0,0,0,-0.007156100216562971,0.007422277752556435,-0.0008086249543386371,-0.009649825312849154
Denmark,1898,0,0,0,0,-0.005273107109152607,0.0038980302611421797,-0.003963963234552028,-0.005170637667779491
Denmark,1899,0,0,0,0,-0.002213511648946129,0.000895776351800678,-0.006175804474780395,0.004638793963665997
Denmark,1900,0,0,0,0,-0.004956912599820395,-0.0004505911418415682,0.006851359284405555,-0.00745730160260476
Denmark,1901,0,0,0,0,-0.0021868676463770035,-0.00031314608648467905,0.003466414142276908,-0.0013814442078036926
Denmark,1902,0,0,0,0,-0.007465165096767605,0.0023405753191083505,-0.010656625216277707,-0.0006257995756382027
Denmark,1903,0,0,0,0,0.0004351096387224154,-0.009439445630468273,-0.008431421421236065,-0.0019136189962602485
Denmark,1904,0,0,0,0,0.007166539033401852,-0.014057922722020692,0.014683117681085017,0.013449391612086765
Denmark,1905,0,0,0,0,0.005678676517409723,-0.01079553114342679,0.0067318903409209875,0.014033279395361736
Denmark,1906,0,0,0,0,-0.0011814261025003125,-0.010765384596060872,-0.018472668384718813,0.0008947459506715785
Denmark,1907,0,0,0,0,-0.0035040008909704113,-0.006019495689084277,-0.010174692351410296,-0.0038566336286582773
Denmark,1908,0,0,0,0,-0.00047023993814209375,-0.005951502805017592,0.011675390672639471,0.00688395949494254
Denmark,1909,0,0,0,0,-0.006579902470627453,-0.005148187088202701,-0.0030416535633534334,-0.011848802514326153
Denmark,1910,0,0,0,0,-0.0034582496167418876,-0.003188337949565013,-0.0038881502180050805,0.0068964481330844925
Denmark,1911,0,0,0,0,-0.005729714377481661,2.8915407288779976e-07,6.338288515502915e-05,-0.005438752171990357
Denmark,1912,0,0,0,0,0.0033751522315022273,-0.002436868054598176,0.00908875561265109,0.0012897564661772895
Denmark,1913,0,0,0,0,-0.0005663816073850952,-0.005493297972063341,-0.0010234040058914443,0.0035502890207086296
Denmark,1914,0,0,0,0,-0.0012874656710498077,-0.0002282166329071406,0.017992579216506065,0.01174617340244485
Denmark,1922,0,0,0,0,-0.0011536470275983145,-0.00615673804534703,0.011373614453814735,0.0006974617109154792
Denmark,1923,0,0,0,0,0.01145293490611383,-0.018108823303191447,0.0012500424756271245,-0.008063317290654588
Denmark,1924,0,0,0,0,0.01527397061450979,-0.028785401378822573,0.013677544645991555,0.012820892073959301
