year,country,iso,crisis_bin,crisis_lv,crisisJST,crisis_union,crisis_h1,crisis_h2,crisis_h3,tloans,tmort,lev,ltd,noncore,hpnom,housing_capgain,eq_capgain,stir,ltrate,bill_rate,gdp,iy,ca,cpi,debtgdp,money,bond_rate,housing_tr,eq_tr,tloans_gap,hpnom_gap,term_spread,tloans_growth
1891,Belgium,BEL,0,0,0.0,0,0,0,0,1060.3621,80.6065,12.95894718170166,72.2715835571289,1.5250768661499023,0.34483519585194106,0.008849945850670338,-0.07243654876947403,3.0,2.8275,0.032783009111881256,5540.403322062591,,-265.25342,0.6345177664974619,0.37398,,0.02827499993145466,0.09759856760501862,-0.01920868083834648,1.0457683149809327,-0.04135130222502531,-0.17249999999999988,0.051264457385783446
1892,Belgium,BEL,0,0,0.0,0,0,0,0,1105.6331,82.279,12.95894718170166,72.2715835571289,1.5250768661499023,0.35088493613004534,0.017544623464345932,-0.025075631216168404,2.6917808219,2.8225,0.032807111740112305,5366.1190385106165,,-148.56629999999996,0.6133671742808798,0.400104,,0.028224999085068703,0.10551470518112183,0.02862100675702095,80.59108587326728,-0.035623097176816554,0.13071917809999967,0.042693906166582085
1893,Belgium,BEL,0,0,0.0,0,0,0,0,1108.525,80.0938,12.95894718170166,72.2715835571289,1.5250768661499023,0.4325564298844524,0.23275716602802277,-0.03517645224928856,2.8260273973,2.69,0.032760139554739,5349.661528820263,,-219.47603000000015,0.5922165820642977,0.409369,,0.026900000870227814,0.3187004029750824,0.00837431475520134,112.74027831969602,0.04494025913828187,-0.1360273972999999,0.0026156054843149423
1894,Belgium,BEL,0,0,0.0,0,0,0,0,1077.543,81.148,12.95894718170166,72.2715835571289,1.5250768661499023,0.3539098062690974,-0.1818169206380844,0.08649186789989471,3.0,2.5625,0.03244104981422424,5210.059716521282,,-268.8609999999999,0.578116187253243,0.427055,,0.025624999776482582,-0.11272125691175461,0.1291980892419815,105.18684318823387,-0.03533163911875736,-0.4375,-0.027948850950587634
1895,Belgium,BEL,0,0,0.0,0,0,0,0,1060.551,78.0366,12.95894718170166,72.2715835571289,1.5250768661499023,0.3902082479377228,0.1025628000497818,-0.0023463964462280273,2.604109589,2.58,0.03159615024924278,5334.312164771869,,-302.04296,0.5640157924421882,0.421236,,0.025800000876188278,0.1867600679397583,0.03400697559118271,104.70112731704921,-0.0010184949350000583,-0.024109589000000042,-0.015769208282175207
1896,Belgium,BEL,0,0,0.0,0,0,0,0,1102.649,80.6395,12.95894718170166,72.2715835571289,1.5250768661499023,0.4174320791891919,0.06976792216300964,0.06531625986099243,2.8410958904,2.6525,0.03174474835395813,5435.035072809547,,-326.53984000000014,0.5428652002256061,0.424655,,0.026525000110268593,0.14590366184711456,0.10684456676244736,155.02661043633952,0.02410545944540593,-0.18859589040000024,0.03969446070957461
1897,Belgium,BEL,0,0,0.0,0,0,0,0,1239.724,85.8923,12.95894718170166,72.2715835571289,1.5250768661499023,0.4113823389110876,-0.014493378810584545,0.08368118107318878,3.0,2.63,0.031837739050388336,5730.720809420356,,-313.73239999999987,0.5499153976311335,0.413562,,0.02630000002682209,0.0566769577562809,0.13035796582698822,290.4320194580064,0.016089252604370052,-0.3700000000000001,0.1243142650108966
1898,Belgium,BEL,0,0,0.0,0,0,0,0,1251.598,95.2711,12.95894718170166,72.2715835571289,1.5250768661499023,0.42045694932824396,0.022059788927435875,0.10423637181520462,3.0356164384,2.6125,0.030935190618038177,5778.265772341035,,-326.48260000000005,0.5499153976311335,0.452382,,0.026125000789761543,0.0942767933011055,0.1487068384885788,288.7335147678606,0.02351853281243904,-0.4231164384000001,0.009577938315302514
1899,Belgium,BEL,0,0,0.0,0,0,0,0,1338.6639,111.5338,12.95894718170166,72.2715835571289,1.5250768661499023,0.4355813000235046,0.03597038611769676,-0.0042457785457372665,3.9164383562,2.7825,0.030915550887584686,6091.436613513599,,-364.1330599999999,0.5569655950366609,0.436845,,0.027824999764561653,0.10726715624332428,0.03951157629489899,347.59207670306785,0.03746619256665851,-1.1339383561999998,0.06956378965130972
1900,Belgium,BEL,0,0,0.0,0,0,0,0,1578.851,132.254,12.95894718170166,72.2715835571289,1.5250768661499023,0.42045694932824396,-0.03472144156694412,-0.1375301331281662,4.0863013699,2.92,0.031164009124040604,6328.970307159834,0.13314962136047165,-321.41091000000006,0.6274675690919345,0.42803,,0.029200000688433647,0.03451067954301834,-0.09390377998352051,541.4832518138746,0.021722496780573697,-1.1663013699000002,0.1794230052816097
